message,concepts
"(1, 2, 19, 0)","[((12, 9, 15), (1, 1, 1)), ((11, 9, 12), (1, 1, 1)), ((11, 4, 12), (1, 1, 1)), ((10, 4, 15), (1, 1, 1)), ((12, 4, 10), (1, 1, 1)), ((12, 4, 12), (1, 1, 1)), ((12, 4, 10), (1, 1, 1)), ((10, 4, 15), (1, 1, 1)), ((12, 4, 12), (1, 1, 1)), ((11, 4, 10), (1, 1, 1)), ((11, 9, 12), (1, 1, 1)), ((12, 9, 12), (1, 1, 1)), ((11, 4, 12), (1, 1, 1)), ((12, 9, 12), (1, 1, 1)), ((10, 4, 10), (1, 1, 1)), ((11, 9, 12), (1, 1, 1)), ((10, 4, 15), (1, 1, 1)), ((11, 9, 12), (1, 1, 1)), ((12, 4, 10), (1, 1, 1)), ((11, 4, 12), (1, 1, 1)), ((10, 4, 15), (1, 1, 1)), ((10, 4, 10), (1, 1, 1)), ((12, 4, 12), (1, 1, 1)), ((11, 4, 10), (1, 1, 1)), ((10, 4, 10), (1, 1, 1)), ((11, 9, 12), (1, 1, 1)), ((11, 4, 10), (1, 1, 1)), ((12, 9, 15), (1, 1, 1)), ((10, 4, 15), (1, 1, 1)), ((12, 9, 12), (1, 1, 1)), ((12, 9, 12), (1, 1, 1)), ((12, 9, 15), (1, 1, 1)), ((12, 9, 12), (1, 1, 1)), ((12, 4, 12), (1, 1, 1)), ((10, 4, 10), (1, 1, 1)), ((12, 4, 10), (1, 1, 1)), ((12, 9, 15), (1, 1, 1)), ((12, 4, 12), (1, 1, 1)), ((10, 4, 15), (1, 1, 1)), ((10, 4, 10), (1, 1, 1)), ((12, 4, 12), (1, 1, 1)), ((10, 4, 10), (1, 1, 1)), ((11, 4, 15), (1, 1, 1)), ((11, 9, 12), (1, 1, 1)), ((12, 9, 12), (1, 1, 1)), ((12, 9, 12), (1, 1, 1)), ((12, 4, 10), (1, 1, 1)), ((11, 4, 10), (1, 1, 1)), ((12, 9, 12), (1, 1, 1)), ((11, 4, 10), (1, 1, 1)), ((10, 4, 15), (1, 1, 1)), ((12, 4, 15), (1, 1, 1)), ((11, 4, 15), (1, 1, 1)), ((12, 4, 12), (1, 1, 1)), ((11, 4, 12), (1, 1, 1)), ((12, 4, 15), (1, 1, 1)), ((10, 4, 15), (1, 1, 1)), ((11, 4, 10), (1, 1, 1)), ((11, 4, 10), (1, 1, 1)), ((11, 4, 15), (1, 1, 1)), ((11, 4, 12), (1, 1, 1)), ((11, 4, 15), (1, 1, 1)), ((11, 4, 12), (1, 1, 1)), ((12, 4, 15), (1, 1, 1)), ((12, 4, 15), (1, 1, 1)), ((12, 4, 15), (1, 1, 1)), ((12, 4, 15), (1, 1, 1)), ((12, 9, 15), (1, 1, 1)), ((11, 4, 15), (1, 1, 1)), ((12, 9, 15), (1, 1, 1)), ((12, 4, 15), (1, 1, 1)), ((10, 4, 10), (1, 1, 1)), ((11, 4, 15), (1, 1, 1)), ((11, 4, 12), (1, 1, 1)), ((11, 4, 12), (1, 1, 1)), ((10, 4, 10), (1, 1, 1)), ((11, 4, 10), (1, 1, 1)), ((12, 4, 15), (1, 1, 1)), ((12, 4, 15), (1, 1, 1)), ((12, 9, 15), (1, 1, 1)), ((12, 4, 12), (1, 1, 1)), ((12, 4, 10), (1, 1, 1)), ((11, 4, 12), (1, 1, 1))]"
"(1, 3, 13, 0)","[((9, 4, 15), (1, 1, 1)), ((9, 4, 12), (1, 1, 1)), ((9, 4, 12), (1, 1, 1)), ((9, 4, 12), (1, 1, 1))]"
"(1, 3, 16, 0)","[((0, 4, 15), (1, 1, 1)), ((0, 4, 15), (1, 1, 1)), ((0, 4, 15), (1, 1, 1)), ((9, 4, 15), (1, 1, 1)), ((9, 9, 15), (1, 1, 1)), ((0, 4, 15), (1, 1, 1)), ((9, 4, 12), (1, 1, 1)), ((9, 4, 15), (1, 1, 1)), ((9, 4, 15), (1, 1, 1)), ((0, 4, 15), (1, 1, 1)), ((9, 4, 15), (1, 1, 1))]"
"(1, 5, 5, 0)","[(('?', 4, 5), (0, 1, 1))]"
"(1, 6, 1, 0)","[((9, 9, 5), (1, 1, 1)), ((9, 4, 5), (1, 1, 1)), ((9, 4, 6), (1, 1, 1)), ((0, 9, 6), (1, 1, 1)), ((9, 9, 6), (1, 1, 1)), ((0, 9, 5), (1, 1, 1)), ((0, 4, 5), (1, 1, 1)), ((0, 4, 5), (1, 1, 1)), ((0, 9, 5), (1, 1, 1)), ((9, 9, 5), (1, 1, 1)), ((0, 4, 6), (1, 1, 1)), ((9, 9, 5), (1, 1, 1)), ((9, 4, 5), (1, 1, 1)), ((0, 4, 5), (1, 1, 1)), ((9, 4, 6), (1, 1, 1)), ((9, 4, 6), (1, 1, 1)), ((9, 9, 5), (1, 1, 1)), ((0, 4, 5), (1, 1, 1)), ((0, 4, 5), (1, 1, 1)), ((0, 9, 5), (1, 1, 1)), ((0, 4, 6), (1, 1, 1)), ((9, 4, 6), (1, 1, 1)), ((9, 4, 5), (1, 1, 1)), ((9, 4, 5), (1, 1, 1)), ((9, 9, 6), (1, 1, 1)), ((9, 4, 5), (1, 1, 1)), ((0, 9, 6), (1, 1, 1)), ((0, 4, 6), (1, 1, 1)), ((0, 9, 5), (1, 1, 1)), ((9, 4, 6), (1, 1, 1)), ((0, 4, 5), (1, 1, 1)), ((0, 4, 6), (1, 1, 1)), ((9, 4, 5), (1, 1, 1)), ((0, 9, 5), (1, 1, 1)), ((0, 9, 5), (1, 1, 1)), ((9, 9, 5), (1, 1, 1)), ((9, 9, 6), (1, 1, 1)), ((9, 4, 6), (1, 1, 1)), ((0, 9, 6), (1, 1, 1)), ((9, 9, 5), (1, 1, 1)), ((0, 4, 6), (1, 1, 1)), ((9, 9, 5), (1, 1, 1)), ((9, 4, 5), (1, 1, 1)), ((9, 9, 5), (1, 1, 1)), ((0, 4, 6), (1, 1, 1)), ((9, 9, 6), (1, 1, 1)), ((9, 9, 5), (1, 1, 1)), ((0, 9, 6), (1, 1, 1)), ((0, 9, 6), (1, 1, 1)), ((9, 4, 6), (1, 1, 1)), ((0, 9, 5), (1, 1, 1)), ((0, 4, 6), (1, 1, 1)), ((0, 4, 5), (1, 1, 1)), ((9, 9, 5), (1, 1, 1)), ((9, 4, 6), (1, 1, 1)), ((0, 9, 6), (1, 1, 1)), ((9, 4, 5), (1, 1, 1))]"
"(1, 6, 5, 0)","[((9, 12, 2), (1, 1, 1))]"
"(1, 6, 11, 0)","[((9, 4, 5), (1, 1, 1))]"
"(1, 6, 31, 0)","[((0, 4, 5), (1, 1, 1))]"
"(1, 12, 1, 0)","[((1, 4, 5), (1, 1, 1)), (('?', 4, 5), (0, 1, 1)), ((1, 4, 5), (1, 1, 1)), ((10, 4, 6), (1, 1, 1)), ((1, 4, 5), (1, 1, 1))]"
"(1, 12, 2, 0)","[((10, 9, 6), (1, 1, 1)), ((10, 4, 6), (1, 1, 1)), ((10, 4, 6), (1, 1, 1)), ((10, 9, 6), (1, 1, 1)), ((10, 9, 6), (1, 1, 1)), ((10, 9, 6), (1, 1, 1))]"
"(1, 12, 5, 0)","[(('?', 4, 6), (0, 1, 1)), (('?', 4, 5), (0, 1, 1)), ((10, '?', 6), (1, 0, 1)), ((12, '?', 6), (1, 0, 1)), (('?', 9, 6), (0, 1, 1))]"
"(1, 12, 6, 0)","[((1, 4, 6), (1, 1, 1)), ((7, 4, 5), (1, 1, 1)), ((7, 9, 6), (1, 1, 1)), ((1, 4, 6), (1, 1, 1)), ((7, 4, 6), (1, 1, 1)), ((7, 9, 5), (1, 1, 1)), ((1, 9, 6), (1, 1, 1)), ((1, 4, 6), (1, 1, 1)), ((7, 4, 6), (1, 1, 1)), ((1, 9, 6), (1, 1, 1)), ((7, 9, 6), (1, 1, 1)), ((7, 4, 6), (1, 1, 1)), ((1, 9, 6), (1, 1, 1)), ((1, 9, 6), (1, 1, 1)), ((1, 4, 5), (1, 1, 1)), ((7, 9, 5), (1, 1, 1)), ((7, 4, 5), (1, 1, 1)), ((7, 4, 6), (1, 1, 1)), ((1, 4, 5), (1, 1, 1)), ((7, 4, 5), (1, 1, 1)), ((7, 9, 5), (1, 1, 1)), ((1, 9, 6), (1, 1, 1)), ((7, 9, 5), (1, 1, 1)), ((7, 4, 5), (1, 1, 1)), ((1, 9, 6), (1, 1, 1)), ((7, 4, 5), (1, 1, 1)), ((1, 4, 6), (1, 1, 1)), ((7, 9, 5), (1, 1, 1)), ((7, 9, 6), (1, 1, 1)), ((7, 4, 6), (1, 1, 1)), ((7, 4, 6), (1, 1, 1)), ((1, 4, 5), (1, 1, 1)), ((7, 4, 5), (1, 1, 1)), ((1, 4, 6), (1, 1, 1)), ((7, 4, 6), (1, 1, 1)), ((1, 4, 5), (1, 1, 1)), ((7, 4, 5), (1, 1, 1)), ((1, 4, 5), (1, 1, 1)), ((7, 4, 5), (1, 1, 1)), ((1, 4, 6), (1, 1, 1)), ((1, 4, 5), (1, 1, 1)), ((1, 9, 6), (1, 1, 1)), ((7, 4, 6), (1, 1, 1)), ((7, 4, 5), (1, 1, 1)), ((1, 4, 5), (1, 1, 1)), ((7, 9, 6), (1, 1, 1)), ((1, 4, 6), (1, 1, 1)), ((7, 9, 5), (1, 1, 1)), ((7, 9, 5), (1, 1, 1))]"
"(1, 12, 9, 0)","[((11, 9, 5), (1, 1, 1)), ((12, 4, 6), (1, 1, 1)), ((11, 9, 5), (1, 1, 1)), ((10, 9, 6), (1, 1, 1)), ((12, 9, 5), (1, 1, 1)), ((12, 4, 6), (1, 1, 1)), ((12, 4, 6), (1, 1, 1)), ((10, 9, 5), (1, 1, 1)), ((10, 4, 5), (1, 1, 1)), ((11, 9, 5), (1, 1, 1)), ((11, 4, 5), (1, 1, 1)), ((11, 9, 5), (1, 1, 1)), ((12, 4, 6), (1, 1, 1)), ((11, 9, 5), (1, 1, 1)), ((12, 9, 5), (1, 1, 1)), ((12, 4, 5), (1, 1, 1)), ((10, 4, 6), (1, 1, 1)), ((12, 4, 6), (1, 1, 1)), ((12, 4, 6), (1, 1, 1)), ((10, 9, 6), (1, 1, 1)), ((11, 4, 5), (1, 1, 1)), ((10, 9, 5), (1, 1, 1)), ((10, 9, 5), (1, 1, 1)), ((12, 4, 5), (1, 1, 1)), ((11, 9, 5), (1, 1, 1)), ((10, 9, 5), (1, 1, 1)), ((12, 4, 6), (1, 1, 1)), ((11, 9, 5), (1, 1, 1)), ((10, 4, 6), (1, 1, 1)), ((11, 4, 5), (1, 1, 1)), ((10, 9, 5), (1, 1, 1)), ((10, 9, 6), (1, 1, 1)), ((12, 4, 6), (1, 1, 1)), ((10, 4, 5), (1, 1, 1)), ((12, 4, 6), (1, 1, 1)), ((11, 4, 5), (1, 1, 1)), ((10, 4, 5), (1, 1, 1)), ((12, 4, 5), (1, 1, 1)), ((10, 4, 6), (1, 1, 1)), ((12, 9, 5), (1, 1, 1)), ((11, 4, 5), (1, 1, 1)), ((10, 4, 5), (1, 1, 1)), ((12, 9, 5), (1, 1, 1)), (('?', 4, 5), (0, 1, 1)), ((10, 4, 5), (1, 1, 1)), ((11, 4, 5), (1, 1, 1)), ((12, 4, 5), (1, 1, 1)), ((12, 4, 5), (1, 1, 1)), ((10, 4, 5), (1, 1, 1)), ((12, 9, 5), (1, 1, 1)), (('?', 9, 6), (0, 1, 1)), ((10, 9, 5), (1, 1, 1)), ((11, 4, 5), (1, 1, 1)), ((10, 9, 5), (1, 1, 1)), ((10, 9, 6), (1, 1, 1)), ((10, 4, 6), (1, 1, 1)), ((11, 4, 5), (1, 1, 1)), ((10, 9, 5), (1, 1, 1)), ((12, 4, 5), (1, 1, 1)), ((10, 9, 6), (1, 1, 1)), ((12, 4, 5), (1, 1, 1)), ((12, 4, 5), (1, 1, 1)), ((12, 9, 5), (1, 1, 1))]"
"(1, 12, 12, 0)","[((10, 4, 5), (1, 1, 1))]"
"(1, 13, 5, 0)","[((9, 9, 15), (1, 1, 1)), ((9, 9, 15), (1, 1, 1)), ((9, 4, 12), (1, 1, 1))]"
"(1, 13, 16, 0)","[((0, 9, 12), (1, 1, 1)), ((9, 9, 12), (1, 1, 1)), ((9, 9, 12), (1, 1, 1)), ((9, 9, 12), (1, 1, 1)), ((0, 9, 12), (1, 1, 1)), ((9, 9, 15), (1, 1, 1)), ((9, 9, 12), (1, 1, 1)), ((9, 9, 12), (1, 1, 1)), ((0, 9, 12), (1, 1, 1)), ((0, 9, 12), (1, 1, 1)), ((9, 9, 12), (1, 1, 1)), ((0, 9, 12), (1, 1, 1))]"
"(1, 16, 5, 0)","[(('?', 4, 10), (0, 1, 1)), (('?', 4, 10), (0, 1, 1)), (('?', 9, 15), (0, 1, 1)), (('?', 9, 15), (0, 1, 1)), (('?', 4, 15), (0, 1, 1)), (('?', 4, 10), (0, 1, 1)), (('?', 4, 12), (0, 1, 1)), (('?', 4, 15), (0, 1, 1)), (('?', 4, 12), (0, 1, 1)), (('?', 9, 15), (0, 1, 1)), (('?', 9, 15), (0, 1, 1)), (('?', 4, 12), (0, 1, 1)), (('?', 4, 10), (0, 1, 1)), (('?', 4, 12), (0, 1, 1)), (('?', 4, 15), (0, 1, 1)), (('?', 4, 15), (0, 1, 1)), (('?', 4, 15), (0, 1, 1))]"
"(1, 16, 16, 0)","[((15, 9, 12), (1, 1, 1)), (('?', 4, 10), (0, 1, 1))]"
"(1, 16, 46, 0)","[((15, 9, 10), (1, 1, 1))]"
"(1, 19, 2, 0)","[((13, 4, 10), (1, 1, 1)), ((13, 4, 10), (1, 1, 1)), ((13, 4, 10), (1, 1, 1)), ((13, 4, 10), (1, 1, 1)), ((13, 9, 15), (1, 1, 1))]"
"(1, 19, 19, 0)","[((13, 9, 15), (1, 1, 1)), ((13, 4, 10), (1, 1, 1)), ((13, 4, 15), (1, 1, 1)), ((13, 9, 15), (1, 1, 1)), ((13, 9, 15), (1, 1, 1)), ((13, 9, 15), (1, 1, 1)), ((13, 4, 15), (1, 1, 1)), ((13, 9, 15), (1, 1, 1)), ((13, 4, 12), (1, 1, 1)), ((13, 4, 15), (1, 1, 1)), ((13, 4, 15), (1, 1, 1)), ((13, 4, 10), (1, 1, 1)), ((13, 4, 12), (1, 1, 1)), ((13, 9, 15), (1, 1, 1)), ((13, 4, 12), (1, 1, 1)), ((13, 9, 15), (1, 1, 1))]"
"(1, 24, 1, 0)","[((15, 4, 5), (1, 1, 1))]"
"(1, 29, 16, 0)","[((15, 4, 5), (1, 1, 1))]"
"(1, 40, 10, 0)","[((13, 9, 5), (1, 1, 1)), ((13, 9, 5), (1, 1, 1))]"
"(1, 46, 16, 0)","[((15, 4, 10), (1, 1, 1)), ((15, 9, 10), (1, 1, 1)), ((15, 9, 10), (1, 1, 1)), ((15, 4, 10), (1, 1, 1)), ((15, 4, 10), (1, 1, 1)), ((15, 9, 12), (1, 1, 1)), ((15, 4, 12), (1, 1, 1)), ((15, 9, 12), (1, 1, 1)), ((15, 4, 10), (1, 1, 1)), ((15, 4, 12), (1, 1, 1)), ((15, 4, 10), (1, 1, 1)), ((15, 4, 12), (1, 1, 1)), ((15, 4, 10), (1, 1, 1)), ((15, 4, 12), (1, 1, 1)), ((15, 9, 12), (1, 1, 1)), ((15, 4, 12), (1, 1, 1)), ((15, 4, 10), (1, 1, 1)), ((15, 4, 12), (1, 1, 1)), ((15, 9, 12), (1, 1, 1)), ((15, 9, 12), (1, 1, 1)), ((15, 9, 12), (1, 1, 1)), ((15, 9, 10), (1, 1, 1)), ((15, 9, 10), (1, 1, 1)), ((15, 9, 10), (1, 1, 1)), ((15, 9, 12), (1, 1, 1)), ((15, 9, 12), (1, 1, 1)), ((15, 9, 10), (1, 1, 1)), ((15, 9, 10), (1, 1, 1)), ((15, 4, 12), (1, 1, 1)), ((15, 4, 12), (1, 1, 1)), ((15, 9, 10), (1, 1, 1))]"
"(1, 47, 1, 0)","[((14, 9, 6), (1, 1, 1)), ((14, 9, 6), (1, 1, 1))]"
"(1, 47, 5, 0)","[(('?', 4, 6), (0, 1, 1)), (('?', 4, 5), (0, 1, 1)), (('?', 9, 6), (0, 1, 1))]"
"(1, 51, 1, 0)","[((15, 9, 5), (1, 1, 1)), ((15, 9, 5), (1, 1, 1)), ((6, 9, 5), (1, 1, 1)), ((15, 9, 5), (1, 1, 1)), ((15, 9, 5), (1, 1, 1)), ((15, 4, 5), (1, 1, 1)), ((6, 9, 5), (1, 1, 1)), ((6, 4, 5), (1, 1, 1)), ((6, 4, 5), (1, 1, 1)), ((15, 4, 5), (1, 1, 1)), ((6, 4, 5), (1, 1, 1)), ((6, 4, 5), (1, 1, 1)), ((6, 9, 6), (1, 1, 1)), ((6, 4, 5), (1, 1, 1)), ((15, 9, 5), (1, 1, 1)), ((15, 9, 5), (1, 1, 1)), ((15, 4, 5), (1, 1, 1))]"
"(1, 51, 16, 0)","[((6, 4, 6), (1, 1, 1))]"
"(1, 51, 32, 0)","[((15, 9, 6), (1, 1, 1)), ((15, 9, 6), (1, 1, 1)), ((15, 9, 6), (1, 1, 1)), ((15, 9, 6), (1, 1, 1)), ((15, 9, 6), (1, 1, 1)), ((15, 9, 6), (1, 1, 1)), ((15, 4, 5), (1, 1, 1)), ((15, 9, 6), (1, 1, 1))]"
"(2, 2, 5, 0)","[((9, 3, '?'), (1, 1, 0)), ((0, 1, '?'), (1, 1, 0)), ((0, 1, '?'), (1, 1, 0)), ((0, 1, '?'), (1, 1, 0))]"
"(2, 5, 5, 0)","[((14, 12, '?'), (1, 1, 0)), ((14, 5, '?'), (1, 1, 0)), ((14, 5, '?'), (1, 1, 0)), ((14, 12, '?'), (1, 1, 0)), ((14, 12, '?'), (1, 1, 0)), ((14, 5, '?'), (1, 1, 0)), ((14, 5, '?'), (1, 1, 0)), ((14, 5, '?'), (1, 1, 0)), ((14, 12, '?'), (1, 1, 0)), ((14, 12, '?'), (1, 1, 0)), ((14, 5, '?'), (1, 1, 0)), ((14, 5, '?'), (1, 1, 0)), ((14, 5, '?'), (1, 1, 0)), ((14, 5, '?'), (1, 1, 0))]"
"(2, 5, 28, 0)","[((9, 12, '?'), (1, 1, 0)), ((9, 12, '?'), (1, 1, 0)), ((0, 12, '?'), (1, 1, 0)), ((9, 12, '?'), (1, 1, 0)), ((0, 12, '?'), (1, 1, 0)), ((9, 12, '?'), (1, 1, 0)), ((0, 12, '?'), (1, 1, 0)), ((9, 12, '?'), (1, 1, 0)), ((9, 12, '?'), (1, 1, 0))]"
"(2, 19, 19, 0)","[((11, 12, '?'), (1, 1, 0)), ((11, 12, '?'), (1, 1, 0)), ((12, 12, '?'), (1, 1, 0)), ((11, 12, '?'), (1, 1, 0)), ((10, 12, '?'), (1, 1, 0)), ((12, 12, '?'), (1, 1, 0)), ((12, 12, '?'), (1, 1, 0)), ((10, 12, '?'), (1, 1, 0)), ((11, 12, '?'), (1, 1, 0)), ((12, 12, '?'), (1, 1, 0)), ((12, 12, '?'), (1, 1, 0)), ((11, 12, '?'), (1, 1, 0)), ((11, 12, '?'), (1, 1, 0)), ((12, 12, '?'), (1, 1, 0)), ((10, 12, '?'), (1, 1, 0)), ((11, 12, '?'), (1, 1, 0)), ((12, 12, '?'), (1, 1, 0)), ((10, 12, '?'), (1, 1, 0))]"
"(2, 19, 48, 0)","[((10, 12, '?'), (1, 1, 0)), ((10, 12, '?'), (1, 1, 0)), ((10, 12, '?'), (1, 1, 0)), ((11, 12, '?'), (1, 1, 0)), ((12, 12, '?'), (1, 1, 0)), ((10, 12, '?'), (1, 1, 0)), ((11, 12, '?'), (1, 1, 0))]"
"(3, 2, 5, 0)","[((14, 9, '?'), (1, 1, 0))]"
